gene_name	chr	TSS	TSS_POL2_sig
RPUSD2	chr15	40569298	128.614
GP9	chr3	129060778	0.207352
D2HGDH	chr2	241734629	35.8104
LINC00324	chr17	8224043	18.533
LINC00339	chr1	22025503	426.593
ARHGEF37	chr5	149581497	0.00425438
LOC100130992	chr10	22252071	0.00413077
ZNF555	chr19	2841474	17.1495
LOC401478	chr8	138083545	0.0343286
GNAL	chr18	11857752	0.466001
EGFR	chr7	55109838	0.00972921
OR51D1	chr11	4639714	0.0222303
OR51B6	chr11	5351507	13.2284
LRRC47	chr1	3796498	81.6001
MTFR1	chr8	65644652	191.695
CCT6B	chr17	34961460	374.521
ASGR2	chr17	7114310	0.0332852
ATP8A2	chr13	25371973	0.0454931
CLPTM1L	chr5	1345099	52.9567
CCDC59	chr12	82358387	258.949
CITED1	chrX	72306870	6.31593
SNORA10B	chr2	30187433	0.0382058
GOPC	chr6	117602511	222.683
MIR8082	chr4	113152281	0.0414984
PTENP1-AS	chr9	33677267	2.75636
PIGP	chr21	37073071	170.188
NRDE2	chr14	90331941	88.256
FAM74A4	chr9	61205259	0.00023
MIR665	chr14	100875032	0.0120586
ESR1	chr6	151805704	0.0370554
LINC02688	chr11	1049879	0.0221426
G6PC2	chr2	168901290	0.0006047
WFDC3	chr20	45791883	32.1296
PRPF4	chr9	113275657	371.799
FANCI	chr15	89243978	87.7527
PQBP1	chrX	48897911	329.455
CSN3	chr4	70242615	0.00627869
DCAF10	chr9	37800796	176.496
OR14K1	chr1	247738614	0.0386574
SOGA3	chr6	127519024	0.0838331
FAM216A	chr12	110468844	207.421
EHD2	chr19	47713421	16.8659
ETDC	chrX	135309479	0.157821
MAMDC4	chr9	136852345	51.2563
MIR4703	chr13	51552588	0.00173887
LINC02119	chr5	38148479	0.00352826
CLGN	chr4	140427648	1.83275
GTPBP2	chr6	43629264	142.016
MIR181B1	chr1	198858982	0.0215608
LINC02241	chr5	20611839	0.0373507
KLRC2	chr12	10435993	0.0020716
MIR6165	chr17	49510816	0.0684893
ADGRF5-AS1	chr6	46903470	0.00599041
TPSB2	chr16	1230184	0.0015226
ZNF382	chr19	36605312	0.0480047
MIR12121	chr14	104865313	1.13836
TDH	chr8	11339636	0.0013506
SNORD113-4	chr14	100936490	0.0733085
MAN2A1	chr5	109689365	227.092
ZNF674-AS1	chrX	46545489	109.71
WDR64	chr1	241652280	0.0201056
LINC01460	chr2	27715732	0.00416903
OTUD7B	chr1	150010726	86.8017
IRX4	chr5	1882925	0.049303
SNORD115-15	chr15	25247344	0.00862379
EXOC5	chr14	57268905	101.131
PLEKHO1	chr1	150149915	0.918052
LEMD1	chr1	205422056	0.0909838
RINT1	chr7	105532080	469.717
SNORD58A	chr18	49491347	22.0463
TXN	chr9	110256507	163.074
ERICH6	chr3	150703920	9.11122
GRID1-AS1	chr10	85577730	0.0310781
KLK2	chr19	50873432	0.0487484
FBRS	chr16	30658430	151.349
QRFPR	chr4	121381018	0.0194932
USP49	chr6	41895375	61.7174
TAX1BP1	chr7	27740094	275.609
MTF1	chr1	37859592	283.023
LOC100505978	chr12	106684700	0.00830831
LOC105376353	chr10	3249013	0.0142266
LOC100132356	chr5	43066971	161.925
TP53INP2	chr20	34704343	18.5348
FAM168A	chr11	73598112	16.3513
ERMARD	chr6	169751621	478.395
C19orf54	chr19	40750477	132.287
SNORD114-5	chr14	100955369	0.00696831
PXDNL	chr8	51809445	2.23171
FAM13B	chr5	138033113	206.603
ALDH1L1-AS1	chr3	126103639	0.0307205
LOC100310756	chr8	143558271	0.990842
VPS13D	chr1	12230029	2.63744
C5orf22	chr5	31532265	215.206
PHF23	chr17	7239457	62.842
DUOX2	chr15	45114172	0.0418498
FUT2	chr19	48695970	0.0625022
SLFN11	chr17	35373621	0.00972528
LINC01103	chr2	104510509	0.0106737
SAMD4B	chr19	39342420	35.0283
UBE2Q2	chr15	75843446	83.5305
MIR4720	chr16	81385017	0.164528
SPATA22	chr17	3513852	0.194194
DNAJA1P5	chr1	101872011	0.0864291
SSC5D	chr19	55488435	12.7271
CLK2	chr1	155273504	110.011
BCAR3	chr1	93847219	22.0088
RPS27L	chr15	63157477	260.281
LOC93622	chr4	6674074	706.261
MIR4454	chr5	12667858	0.782205
ERBB2	chr17	39688093	86.4673
MIR4777	chr2	231362707	0.955545
MIR664A	chr1	220200619	9.10085
MYOPARR	chr1	203083794	0.0240876
LOC100130027	chr8	144827040	32.7936
PARP4	chr13	24512778	200.401
LINC02514	chr4	187370647	0.0292636
MIR4771-1	chr2	111771134	0.0057488
LOC100130357	chr6	13283442	6.56416
MIR6753	chr11	68044793	1.21464
PRKCSH	chr19	11435739	42.6853
EFHD1	chr2	232633603	2.12214
KIAA1586	chr6	57046531	181.966
UCHL1-AS1	chr4	41256727	0.0206885
PCBP2	chr12	53452101	68.7395
LOC100130373	chr20	36155760	0.0817983
SLBP	chr4	1712319	15.9066
MIR4659A	chr8	6745163	0.876911
LOC100506497	chr7	28979966	0.012929
ITPA	chr20	3209497	138.679
VSTM2A-OT1	chr7	54556969	0.0133494
OR10X1	chr1	158579899	0.00876972
SRBD1	chr2	45611267	177.26
LGSN	chr6	63319983	0.018687
LINC00561	chr13	75935132	0.041623
GRTP1-AS1	chr13	113351672	1.4011
RNF138	chr18	32092605	159.103
TMEM225	chr11	123885670	0.0130466
BLNK	chr10	96271516	0.0271659
LGALS8	chr1	236523981	106.898
PTK2B	chr8	27311477	62.6647
NTSR1	chr20	62708835	0.0583481
RGS11	chr16	275944	0.00945843
KANSL1L	chr2	210171409	32.5775
HDAC7	chr12	47819903	9.04227
KIAA1671	chr22	25027973	0.293355
ITGAV	chr2	186590055	271.943
ZNF536	chr19	30228509	0.0540084
ZNF512B	chr20	63969930	4.45932
SNORD146	chr3	47661694	6.16811
PDRG1	chr20	31952046	43.6588
UBE2K	chr4	39698135	320.244
LOC284798	chr20	25147993	0.091841
OR52H1	chr11	5545523	0.002628
RNU1-2	chr1_KI270713v1_random	22024	24539.6
PIGZ	chr3	196968833	20.354
OPN5	chr6	47782038	0.0570102
MIR379	chr14	101022065	0.0439994
LMO3	chr12	16605379	0.0114876
OR4D2	chr17	58169655	0.0137337
TEAD1	chr11	12674420	40.5012
MIR485	chr14	101055418	0.0110536
LOC101928911	chr6	87784859	0.00146186
ARHGAP27P2	chr17	68198659	0.0125734
SEC61B	chr9	99222281	166.294
DCUN1D3	chr16	20900358	26.313
CYP2F1	chr19	41114431	0.0580899
DDX42	chr17	63774169	138.182
OR2T12	chr1	248295578	0.0101727
MTMR3	chr22	29883173	64.2278
TWSG1	chr18	9334772	17.6351
C17orf107	chr17	4899535	8.3075
PINCR	chrX	43176993	0.751615
NT5DC2	chr3	52535027	10.8494
ZFAND3	chr6	37819726	22.3749
TAS2R4	chr7	141776673	0.048043
VTA1	chr6	142147262	97.1862
MIR3179-1	chr16	14901507	0.00023
MIR3179-1	chr16	16300158	0.00023
MIR3179-1	chr16	18411977	0.00023
MIR3179-1	chr16	18494576	0.00023
TDRD3	chr13	60396456	93.7216
CCDC162P	chr6	109165830	1.49438
TMEM183B	chr3	149983366	0.00861373
MICOS10	chr1	19596978	245.814
JTB	chr1	153977674	111.384
OR6K3	chr1	158718115	0.00770979
PAX6	chr11	31811322	2.17103
ACTL6B	chr7	100656448	0.288625
RABEP1	chr17	5282283	55.4782
MIR1207	chr8	128049151	29.7881
ALG12	chr22	49918438	19.7471
OCIAD2	chr4	48906828	0.0128618
SELENOI	chr2	26346142	344.617
KIR3DL3	chr19	54724446	0.0125633
RHOV	chr15	40874234	8.32867
MIR3689C	chr9	134849369	0.00023
FAM184A	chr6	119078664	27.0658
SLC13A4	chr7	135728186	0.166552
ARHGEF10	chr8	1823925	1.94333
STEAP1B	chr7	22500188	52.2302
RNA28SN2	chr21	8213887	0.00023
RNA28SN2	chr21	8441145	0.00023
RNA28SN2	chr22_KI270733v1_random	130203	0.00023
LOC105371998	chr18	12432773	0.855263
LINC01483	chr17	69593986	0.0526539
LINC00520	chr14	55796674	20.8891
RASA1	chr5	87267882	257.528
DHFRP3	chr2	82856802	0.0285206
MICOS10P1	chr13	32498492	1.62381
MIR7160	chr8	2076588	0.00652564
FLJ38576	chr4	186191490	145.223
SNTG2	chr2	950848	0.00585899
NR1H3	chr11	47248894	202.013
ARSL	chrX	2968245	0.063661
TMEM236	chr10	17752200	0.0275094
UBE2U	chr1	64203622	0.17193
OCLNP1	chr5	71093070	0.00201352
CLCA4-AS1	chr1	86704493	143.868
MAP3K15	chrX	19515261	0.0203059
TMTC1	chr12	29784759	0.00184376
OR4M2	chr15	22080526	0.011814
GJB1	chrX	71223223	0.0837879
UCKL1-AS1	chr20	63953383	5.98187
MIR4643	chr6	91521659	0.00361579
MEIOB	chr16	1872164	65.136
COX10-AS1	chr17	14069458	189.875
ISOC2	chr19	55461642	240.034
UTP14C	chr13	52024690	5.82843
VTI1B	chr14	67674632	95.3429
CHKB-CPT1B	chr22	50582999	86.6623
GAS2	chr11	22666610	0.149823
AIP	chr11	67483025	46.5756
ADRB2	chr5	148826610	0.766514
CDO1	chr5	115816659	0.0351902
HAND2	chr4	173530229	18.9043
MAP7	chr6	136550819	3.37514
MIR1260B	chr11	96341437	3.94611
KRTAP10-2	chr21	44551505	0.0156016
NDFIP2-AS1	chr13	79481231	75.6144
LINC01346	chr1	3940611	0.011314
BFSP1	chr20	17569220	4.57968
LINC01312	chr6	133821146	0.019993
KRTAP5-9	chr11	71548419	0.0267588
FOXK2	chr17	82519731	4.66727
PGM5P4	chr2	113541470	26.6401
MIR6128	chr11	56743872	0.0385351
GPRASP2	chrX	102712447	1.64856
ZNF732	chr4	305474	0.0665557
LINC01189	chr9	62452489	0.00023
ACOT1	chr14	73537142	0.00023
C16orf96	chr16	4556489	0.0352917
MIR377	chr14	101062049	0.00180464
TAAR1	chr6	132659182	0.0463046
MIR5698	chr1	154104592	0.0180423
KRT20	chr17	40885242	0.0925102
EPHX2	chr8	27491142	63.6161
THEM4	chr1	151909511	244.545
LGALS12	chr11	63506083	1.66258
NEFM	chr8	24913760	0.0213476
IL1RL2	chr2	102186972	0.0378372
SDHB	chr1	17054032	105.585
MIR941-2	chr20	63919560	1.67899
LIF	chr22	30246759	0.570286
PDZK1P1	chr1	148014956	0.0652375
TTC28-AS1	chr22	27919375	59.8075
CHD1	chr5	98929007	388.23
ABCC11	chr16	48244588	39.3204
ZSWIM5	chr1	45206605	0.0942846
GPC6-AS1	chr13	94187991	0.00351224
PWRN3	chr15	24441126	0.00023
CCDC200	chr17	43229011	0.00023
CCDC200	chr17	43228623	0.00023
LILRP2	chr19	54707915	0.0974775
LINC02505	chr4	36641900	12.3121
LINC02280	chr14	104665558	0.0309964
MIR4437	chr2	181305652	0.017015
PLEKHJ1	chr19	2236329	66.5664
SNAPC5	chr15	66497815	364.907
MERTK	chr2	111898606	18.3728
NFASC	chr1	204828651	0.02131
MIR4445	chr3	109602827	0.0294398
COPS3	chr17	17281246	143.443
UMAD1	chr7	7640751	233.331
LINC01082	chr16	86196180	0.012124
LYSMD3	chr5	90529584	104.061
SNORD103C	chr1	30968237	6.73762
IFNGR2	chr21	33403412	3.98142
UGT2B4	chr4	69495905	0.0205158
MIR100HG	chr11	122102229	0.0737353
LOC100287387	chr2	238847907	0.0021022
LOC105378137	chr6	168226517	0.00520671
DLD	chr7	107891182	341.434
VHL	chr3	10141777	176.436
P2RY4	chrX	70259804	0.125854
GCM1	chr6	53148841	0.0710878
TRMT2A	chr22	20117226	87.8982
LOC105369187	chr12	65557311	0.00724792
MPST	chr22	37019741	34.1658
CAMK1D	chr10	12349546	0.180497
CES2	chr16	66934470	113.199
GYS1	chr19	48993309	40.8006
LINC01229	chr16	79770470	49.8407
MIR4436B1	chr2	110086523	0.00023
MIR4436B1	chr2	110284852	0.00023
THAP8	chr19	36054762	178.789
CAPN12	chr19	38744474	5.08673
IFNW1	chr9	21141901	0.00023
SNORD27	chr11	62855083	273.977
RIC3	chr11	8169025	0.163744
DOCK4-AS1	chr7	111808504	0.0677651
SAA3P	chr11	18116132	0.0196858
LOC100506937	chr7	132758969	0.00445676
RPS16	chr19	39435949	707.335
MIR1255A	chr4	101330414	0.0504212
BNC2-AS1	chr9	16726813	0.00219112
MIR5190	chr18	13459946	0.00861337
LINC02028	chr3	194070970	25.8662
ABCG1	chr21	42219897	0.0201164
KBTBD4	chr11	47578970	255.204
BPIFA1	chr20	33235995	0.00988384
NFIL3	chr9	91424626	22.6617
LOC101929076	chr15	67838879	0.0028943
EMC1-AS1	chr1	19210385	305.063
FMR1	chrX	147911950	5.78912
STK3	chr8	98825688	53.6888
SLC5A9	chr1	48222715	0.00627058
PLAA	chr9	26947242	50.1138
LOC283214	chr11	75768647	2.82685
TNFRSF11B	chr8	118951885	0.0654872
ESRRB	chr14	76376136	1.30806
ZNF316	chr7	6637317	21.152
C13orf46	chr13	113974076	0.102596
CRLF3	chr17	30824760	145.657
TRIM29	chr11	120138113	0.00851477
TMEM94	chr17	75456634	41.5474
MIR1294	chr5	154347105	0.123314
SLC9A1	chr1	27155125	236.962
CGNL1	chr15	57376504	0.215332
GLT6D1	chr9	135639540	0.133555
LINC01602	chr8	57978357	0.0984528
LOC105371925	chr17	81228706	8.82874
MIR4434	chr2	64525512	0.368866
PA2G4P4	chr3	156812021	8.401e-05
AP3B1	chr5	78294698	154.336
MIR1538	chr16	69565868	162.693
RTTN	chr18	70205687	47.52
SMARCAD1	chr4	94207864	203.552
DBN1	chr5	177462426	25.0819
KIAA0408	chr6	127459389	0.0139809
PHLDA2	chr11	2929420	172.271
RPA2	chr1	27914575	289.358
STXBP5	chr6	147204357	20.444
INTS14	chr15	65611131	341.781
PHEX-AS1	chrX	22172983	0.00143004
TTTY19	chrY	8704471	0.00023
CBLC	chr19	44777868	0.00524047
TTLL3	chr3	9809914	40.1086
LOC105376526	chr11	3477073	0.221911
SYT9	chr11	7251903	0.00846769
CEBPZOS	chr2	37196495	133.149
SNRPF	chr12	95858951	74.2051
FBXL16	chr16	705801	0.0342291
BBS4	chr15	72686206	212.46
GRM7-AS1	chr3	7535284	0.0372434
VSNL1	chr2	17539971	0.157424
CA7	chr16	66844413	0.0711358
SLC25A31	chr4	127730399	0.00398911
NPIPA3	chr16	14711688	0.00023
NPIPA3	chr16	14750812	0.00023
PDZRN3-AS1	chr3	73623567	0.00536758
NOTUM	chr17	81961187	0.833565
TSBP1	chr6	32371903	0.0349467
SLC25A23	chr19	6459792	1.86372
C19orf25	chr19	1479215	279.152
PBOV1	chr6	138218490	0.0268232
GCC2	chr2	108449205	113.005
METTL6	chr3	15427544	126.539
LOC100507351	chr17	77546940	0.00407598
TAS2R13	chr12	10909562	0.0855641
CTD-3080P12.3	chr5	1178605	0.116703
RPRD1A	chr18	36067559	134.271
CITED2	chr6	139374648	306.037
TFB2M	chr1	246566261	114.014
KDR	chr4	55125595	0.0401281
C19orf53	chr19	13774455	329.797
MIR6129	chr17	49288454	1.54444
DEFB118	chr20	31368600	0.0129502
NAA10	chrX	153935037	15.706
FAM197Y4	chrY	9355182	0.00023
FAM197Y4	chrY	9375462	0.00023
FAM197Y4	chrY	9464345	0.00023
FAM197Y4	chrY	9484654	0.00023
FAM197Y4	chrY	9525268	0.00023
TMCC1-AS1	chr3	129893870	27.6561
SLC28A3	chr9	84368727	0.0505898
CLCA1	chr1	86468926	0.00325119
KBTBD8	chr3	66998306	38.9249
PLK5	chr19	1524076	0.189326
RUNDC1	chr17	42980564	35.3096
USP9Y	chrY	12701230	0.00023
R3HCC1	chr8	23288107	53.7715
GUCA2B	chr1	42153409	0.0071854
ATF1	chr12	50764100	262.945
APOLD1	chr12	12725916	70.1553
SPZ1	chr5	80320001	0.0440377
RTN4	chr2	55050598	203.984
CCDC80	chr3	112641143	197.571
MIR6883	chr17	8145071	2.82049
SPG21	chr15	64989914	50.7667
GPR18	chr13	99258428	0.495587
PIGF	chr2	46617041	227.309
NPFF	chr12	53507484	15.2035
FAM174B	chr15	92655775	0.0247536
TET1	chr10	68560336	89.5328
GALNT2	chr1	230067237	17.0263
NCOR1	chr17	16215534	185.102
LOC105369747	chr12	47307399	0.0659989
C9orf135	chr9	69820816	3.75471
MYBBP1A	chr17	4555386	116.81
TMEM211	chr22	24946695	0.0164321
FXR2	chr17	7614897	6.75414
RASSF4	chr10	44959801	6.56737
ZNF780B	chr19	40056231	18.8794
KCNQ1OT1	chr11	2699998	274.282
INSL6	chr9	5185639	0.0205361
MAPRE3-AS1	chr2	27014588	0.0938272
LINC02575	chr21	44485570	0.170802
RNF216P1	chr7	4973984	40.11
RNF103-CHMP3	chr2	86721122	0.19566
ACSM3	chr16	20763989	21.2623
BCL2L1	chr20	31722868	28.7772
TBC1D8	chr2	101151447	13.0772
BACE1	chr11	117295573	2.77298
BSPH1	chr19	47992170	0.0190581
ARF1	chr1	228082659	144.287
KCNE3	chr11	74467549	4.69079
MED1	chr17	39451263	307.798
RNF157	chr17	76240493	26.2343
OR4K15	chr14	19975518	0.0112085
TNFSF15	chr9	114806039	0.0722289
DRICH1	chr22	23632321	0.108353
CENPA	chr2	26786014	118.783
RBBP5	chr1	205121978	301.332
SNORD3A	chr17	19188015	0.00023
RBM46	chr4	154781271	0.0129907
NSF	chr17	46590668	0.00023
NDUFS8	chr11	68030680	133.938
PLD6	chr17	17206333	27.6589
LOC100506639	chr5	43067022	155.198
LINC01252	chr12	11548029	0.0947283
C1QTNF1-AS1	chr17	79027655	0.0194763
DAW1	chr2	227871630	0.0534345
VWA2	chr10	114239253	0.0192512
BNIP2	chr15	59689320	157.056
RHOXF1-AS1	chrX	120036235	0.0403015
ZXDC	chr3	126475919	25.2761
LINC00333	chr13	84140601	0.00405461
ZNF396	chr18	35377337	13.116
POU4F2	chr4	146638892	0.0124616
POU6F2	chr7	38977908	0.162718
MIR4310	chr15	41866551	0.015008
UBE2O	chr17	76453152	2.75937
FN3KRP	chr17	82716705	71.5949
TRIM24	chr7	138460258	235.102
RBCK1	chr20	408049	64.6178
ABALON	chr20	31721506	1.62751
LINC01568	chr16	73386804	0.0533961
APOBEC3H	chr22	39097243	0.0278137
OR5M10	chr11	56577721	0.0269931
MIR378D1	chr4	5923328	0.00018832
MYLK-AS1	chr3	123585512	58.2573
PPP1R37	chr19	45093178	61.0185
MIR193B	chr16	14303966	2.26735
NAPEPLD	chr7	103149099	129.358
SLC22A1	chr6	160121830	2.36789
AMY1B	chr1	103655702	0.00023
AMY1B	chr1	103696267	0.00023
AMY1B	chr1	103749840	0.00023
HMX1	chr4	8871839	0.00067044
LOC101927131	chr16	11465259	0.302172
ADAMTS20	chr12	43552203	0.0117213
ZNF682	chr19	20039505	0.0396932
DNAAF5	chr7	726698	63.0186
CDON	chr11	126062866	0.16146
SRM	chr1	11060018	104.052
MIR4749	chr19	49854590	41.8359
MIR4760	chr21	40212431	0.0185225
LOC105372383	chr19	35947114	0.00310304
DPEP2NB	chr16	68015911	0.0318207
NEAT1	chr11	65422797	4380.34
ALCAM	chr3	105366712	0.0127423
MIR6516	chr17	77089416	35.4732
PRG3	chr11	57381150	0.0268989
FCRL2	chr1	157777132	0.0592612
USP17L2	chr8	12138760	0.00296324
SH3KBP1	chrX	19887600	0.683202
MAGEC1	chrX	141903893	37.818
PCSK5	chr9	75890643	0.150928
LOC100630923	chr7	102363860	49.0905
ADGRA1	chr10	133102245	0.00431854
SGIP1	chr1	66533360	0.139775
ABCF1	chr6	30571441	378.267
TTTY8	chrY	6473630	0.00023
TTTY8	chrY	9691099	0.00023
CLIP2	chr7	74289406	0.553835
KLF5	chr13	73059004	2.97587
MIR188	chrX	50003502	0.0609816
LINC01954	chr2	10878266	0.0107521
MIR1973	chr4	116299724	0.0338745
MLIP-AS1	chr6	54047594	0.0246277
IMPDH2	chr3	49029398	285.328
PCSK6	chr15	101489984	1.55859
POP1	chr8	98117292	182.046
LOC101928936	chr6	88539369	0.0249693
HLA-DMA	chr6	32953097	0.0120247
MRPS35	chr12	27710831	295.203
SNORA22B	chr7	56055364	9.56089
ACSF3	chr16	89093851	18.9835
TEX14	chr17	58692045	40.8899
CHST12	chr7	2403610	34.7718
C9orf24	chr9	34397810	5.13817
TRG-AS1	chr7	38341576	56.9641
ANKRD26P3	chr13	19344973	0.00169892
LOC101927402	chr2	64524155	71.7863
HEXIM2	chr17	45161844	125.328
LOC101928861	chr7	133824888	0.202872
PRR19	chr19	42302131	21.6344
RBM27	chr5	146203604	69.3322
PDILT	chr16	20404737	0.00758651
SLC1A6	chr19	14979864	0.0370892
PRR16	chr5	120465630	11.6549
TMIE	chr3	46701391	0.0196617
AFF4	chr5	132963634	143.343
TRPM3	chr9	71121621	0.031456
SLC35A4	chr5	140564564	240.421
DCBLD1	chr6	117482673	21.4465
LOC728752	chr19	36489626	172.699
CDC42EP3	chr2	37672455	7.39474
NDUFB1	chr14	92121706	234.145
SNORD60	chr16	2155105	1505.6
KCNC3	chr19	50329377	85.4917
LOC100129034	chr9	124353472	27.7821
HLA-DQA1	chr6	32637405	0.00040536
MRPL16	chr11	59810778	129.307
LOC284581	chr1	205890019	0.105285
CHPF	chr2	219543809	27.8432
TRIM54	chr2	27282428	0.0348133
OMD	chr9	92424554	0.111545
SNORD115-19	chr15	25201322	0.031666
TRAPPC3	chr1	36156053	123.865
PDK4	chr7	95596516	0.0834246
SS18	chr18	26090647	321.718
VAMP7	chrX	155881344	181.895
C14orf132	chr14	96039361	0.0091361
KLF18	chr1	44141631	0.00583114
LINC00383	chr13	69222345	77.4439
NPTN-IT1	chr15	73569543	2.38462
TMEM191C	chr22	21467169	0.582856
RCN2	chr15	76931748	135.961
C16orf90	chr16	3496652	0.0531144
ALB	chr4	73404286	0.0092238
RSPH4A	chr6	116616478	2.19648
CHD8	chr14	21456123	98.7988
LINC00461	chr5	88673339	0.0488065
CYP4F8	chr19	15615217	0.0144401
PCNP	chr3	101574179	179.535
IL10RB-DT	chr21	33266260	32.5926
ADD3-AS1	chr10	110008381	47.9822
TCAIM	chr3	44338451	356.482
ZNF181	chr19	34734242	198.624
RHPN1	chr8	143368875	5.99026
CCKAR	chr4	26490484	0.0234431
SNORD47	chr1	173864445	124.443
TICAM1	chr19	4831712	84.499
RAD21-AS1	chr8	116874423	17.5317
LINC00475	chr9	92141466	0.0124669
AMFR	chr16	56425545	1.31179
MIR648	chr22	17980961	0.0224257
BRD9	chr5	892801	92.4311
RAB33A	chrX	130171961	0.0242965
RNF141	chr11	10541187	168.416
PRAMEF7	chr1	12916646	0.00023
LOC102467226	chr5	121322549	0.00843095
LOC101928837	chr11	76783062	36.698
LOC100506474	chr2	13007013	0.00033219
FAM160A2	chr11	6234636	33.8805
GPX4	chr19	1103993	245.002
LINC00562	chr13	47932622	0.268623
LOC101926935	chr20	25854021	2.57481
IQCF6	chr3	51779237	0.0676206
CFAP47	chrX	35919733	0.00189736
POU3F2	chr6	98834573	4.80176
FBXO28	chr1	224114110	268.367
LOC101927358	chr9	74371530	0.00117712
LOC101927418	chr14	44911917	0.00167716
BMPR1A	chr10	86756618	67.0393
DDHD1	chr14	53153323	61.5551
GJA5	chr1	147760602	0.0216128
ASCL4	chr12	107774384	0.0063487
LINC01605	chr8	37493913	0.0417505
COX5A	chr15	74938073	170.798
MIR6869	chr20	1392961	11.1673
ISL2	chr15	76336772	119.805
CACNB1	chr17	39197669	13.2214
VPS9D1-AS1	chr16	89711855	160.775
PRRT2	chr16	29812192	20.2965
BANF1	chr11	66002078	219.784
SLAMF8	chr1	159826872	0.0117607
LOC440346	chr16	22374886	43.8368
SHCBP1L	chr1	182953166	0.012919
AIRE	chr21	44285875	0.0206351
MZT2B	chr2	130182261	48.4544
CTSLP2	chr10	47583419	0.00023
HOXC10	chr12	53985145	0.00816447
RNA28SN5	chr21	8213887	0.00023
RNA28SN5	chr21	8441145	0.00023
RNA28SN5	chr22_KI270733v1_random	130203	0.00023
RNA28SN5	chrUn_GL000220v1	113347	0.00023
CRTAM	chr11	122838499	0.0494345
XPO6	chr16	28211965	39.5362
CX3CL1	chr16	57372489	0.00324361
GBP5	chr1	89272860	0.0182522
LLGL1	chr17	18225634	2.68647
LOC100506271	chr22	37354839	0.0069311
TEX33	chr22	37007851	0.0177198
GINS3	chr16	58392470	163.876
SCLT1	chr4	129093539	183.507
GBE1	chr3	81761645	225.11
C11orf53	chr11	111245724	0.0377595
MIR6868	chr17	76098076	2.65923
SFN	chr1	26863148	5.95781
ZBTB17	chr1	15976101	50.6834
TRIM25	chr17	56914049	388.683
LOC100289495	chr6	166342630	328.637
LINC01804	chr2	15690781	0.48713
BBS10	chr12	76348415	139.839
MIR6760	chr12	111304141	0.00981931
KLHL29	chr2	23385178	6.327e-05
EXOC6B	chr2	72826033	2.31036
C12orf60	chr12	14803669	129.89
MZF1	chr19	58573335	61.3466
TMEM217	chr6	37258144	153.869
UBE2Z	chr17	48908406	262.717
ITPKB-IT1	chr1	226675068	0.0736589
MNDA	chr1	158831350	0.000175
MIR378B	chr3	10330228	0.0105086
CEP72	chr5	612339	23.1064
SCN10A	chr3	38794010	0.028614
LOC340357	chr8	12811478	0.0861548
CPZ	chr4	8592764	0.392851
KCNMA1-AS3	chr10	77350871	0.00199134
C3orf56	chr3	127193130	0.00210844
ZNF738	chr19	21358999	25.4519
ZNF790-AS1	chr19	36797549	0.0018054
ZNF790-AS1	chr19	36797562	0.0018054
MIR3661	chr5	134225756	107.768
PLCE1-AS1	chr10	94287070	0.0152652
LINC01078	chr13	75240587	0.0319685
AFF2	chrX	148500616	0.0111993
SNX15	chr11	65027438	17.8767
LOC101928222	chr2	19990203	10.8111
LINC02011	chr3	14811414	0.186801
MIR4673	chr9	136519626	0.22118
VRTN	chr14	74348470	0.0364394
RNF225	chr19	58396089	328.492
FOXR1	chr11	118971760	0.18318
GLIDR	chr9	39810159	8.26333
LINC02080	chr17	76799043	0.126585
STMN1	chr1	25906153	299.419
NPIPB13	chr16	30248413	0.00023
BARD1	chr2	214809683	53.1411
SCUBE1-AS1	chr22	43275941	1.4598
LINC02746	chr11	92915628	0.00387521
DOCK3	chr3	50674926	0.00466988
LINC01799	chr2	66904435	0.0317737
ERG28	chr14	75660876	47.3018
CEACAM1	chr19	42528481	0.0174191
OR2A20P	chr7	144251603	0.00023
OR2A20P	chr7	144299372	0.00023
SIRT6	chr19	4182563	48.6053
ELMOD2	chr4	140524167	102.005
CD68	chr17	7579637	460.463
HIVEP2	chr6	142945176	1.24554
MIPOL1	chr14	37197912	87.1768
ROR2	chr9	91950228	11.3796
SLC25A20	chr3	48898882	9.2466
OR2AG2	chr11	6768957	0.0257654
SAMSN1	chr21	14546315	101.726
CST8	chr20	23491116	0.0205591
MANEA	chr6	95577534	130.82
KRI1	chr19	10566010	76.9726
XKR5	chr8	6835524	0.00364361
ABHD8	chr19	17303425	18.7677
PAG1	chr8	81112068	0.0604592
FAM138E	chr15	101954884	39.8597
NUP205	chr7	135557916	297.781
SERPINB9P1	chr6	2876510	0.00188717
NUDT9	chr4	87422596	195.925
LINC01344	chr1	182314061	0.0397636
RUNX2	chr6	45422274	0.202547
TMTC2	chr12	82687154	0.244953
TMED6	chr16	69351786	2.95179
STKLD1	chr9	133376365	36.4979
SOX18	chr20	64049639	7.81043
PTCD1	chr7	99438798	199.968
LL22NC01-81G9.3	chr22	36965247	0.0474162
LOC101928105	chr3	150738985	0.00749094
SNORA50C	chr17	64146338	820.46
LINC00887	chr3	194312804	0.00273151
UBE2QL1	chr5	6448858	0.253294
CACNA1E	chr1	181483516	0.121124
LINC00502	chr10	91045807	0.0229981
SEPHS2	chr16	30445874	272.712
KCNJ9	chr1	160081537	0.01951
CAMTA1-AS2	chr1	7389754	0.00657896
PALB2	chr16	23641310	159.491
