gene_name	chr	strand	gene_start	gene_end
CHAMP1	chr13	+	114314502	114327322
ANP32AP1	chr15	+	35237325	35238063
LINC02088	chr17	-	20612977	20633251
SNORA79	chr14	-	81202694	81202834
CCDC184	chr12	+	48183643	48185926
MIR4781	chr1	+	54054078	54054154
LINC02038	chr3	-	193840827	193844009
PPARGC1A	chr4	-	23792020	23890047
LOC108783654	chr17	-	42552435	42554802
IER5L	chr9	-	129175551	129178261
TSC22D2	chr3	+	150408297	150466420
ACRV1	chr11	-	125671521	125680847
CLRN1-AS1	chr3	+	150972677	151080726
AJAP1	chr1	+	4654608	4792522
TDGF1P3	chrX	+	110520311	110523021
LINC01865	chr2	+	316283	337054
GABARAP	chr17	-	7240007	7242449
NKIRAS2	chr17	+	42017575	42025638
MTVR2	chr17	-	56884101	56884913
MARCHF9	chr12	+	57755102	57760411
SNX14	chr6	-	85505496	85593858
VWC2	chr7	+	49775332	49921950
MIR335	chr7	+	130496110	130496204
MIR3118-4	chr15	+	20832794	20832869
MIR3118-4	chr15	+	21406384	21406459
MIR3118-4	chr15	+	21843749	21843824
NPR2	chr9	+	35791590	35809731
SSBP4	chr19	+	18419397	18434562
PEF1	chr1	-	31629861	31644617
GSDMD	chr8	+	143553386	143563061
PROM1	chr4	-	15968227	16084023
SYT15	chr10	-	47747648	47762681
BAX	chr19	+	48954874	48961798
TRIM11	chr1	-	228393675	228406835
ZNF728	chr19	-	22974882	23003176
LOC101926948	chr9	+	35646269	35647475
CLEC12A-AS1	chr12	-	9948136	9953337
SPAG7	chr17	-	4959225	4967817
OR5B2	chr11	-	58422264	58423313
ELP4	chr11	+	31509766	31790322
MIR8060	chr3	+	96359963	96360039
H2BC4	chr6	-	26123466	26123926
BDH2	chr4	-	103077591	103099834
SATL1	chrX	-	85092283	85243779
MIR3662	chr6	-	134979337	134979432
C10orf95	chr10	-	102449836	102451543
VPS36	chr13	-	52412601	52450244
OBI1-AS1	chr13	+	78054854	78617325
NFIX	chr19	+	12995474	13098796
TEX49	chr12	+	48727434	48765788
PRNT	chr20	-	4731281	4740668
HNRNPD	chr4	-	82352497	82373991
STAM	chr10	+	17644150	17716822
NBPF3	chr1	+	21440136	21484900
CDT1	chr16	+	88803788	88809258
NUTF2	chr16	+	67846932	67872566
ARAP1	chr11	-	72685068	72752389
CISD1	chr10	+	58269161	58289585
OR4D1	chr17	+	58155153	58156086
CRSP8P	chr5	-	80350604	80351966
RB1-DT	chr13	-	48296512	48303702
LOC101927018	chr17	+	28926274	28944748
CTPS2	chrX	-	16587998	16712669
RMC1	chr18	+	23503469	23531780
ST8SIA1	chr12	-	22193390	22334714
ZNRF2	chr7	+	30284596	30367689
ZDBF2	chr2	+	206274662	206314426
FLG	chr1	-	152302164	152325239
LINC01022	chr7	+	158590628	158591933
LINC01526	chr6	-	81813285	81814192
DHDH	chr19	+	48933698	48944969
IL26	chr12	-	68201348	68225810
CLC	chr19	-	39731254	39738029
MRPL19	chr2	+	75646782	75662206
SLC10A2	chr13	-	103043997	103066417
C14orf93	chr14	-	22985893	23010143
EMC10	chr19	+	50476506	50490871
PTGS2	chr1	-	186671790	186680423
ZNF614	chr19	-	52013323	52028379
LINC02337	chr13	+	111596008	111642079
RABGGTB	chr1	+	75786193	75795090
LINC01918	chr2	+	105144112	105145424
OR7G2	chr19	-	9102268	9103306
TRO	chrX	+	54920823	54931431
IL9R	chrX	+	155997695	156010817
MIR340	chr5	-	180015302	180015397
ZNF687-AS1	chr1	-	151280024	151281929
ATXN2-AS	chr12	+	111599497	111600255
NR2C2AP	chr19	-	19201410	19203414
LINC00629	chrX	+	134550023	134560398
AADACL4	chr1	+	12644084	12667076
LRRC9	chr14	+	59919712	60064596
CCNT1	chr12	-	48688457	48716707
RHOQ-AS1	chr2	-	46568256	46580238
SNORD105B	chr19	+	10109748	10109840
ANKS3	chr16	-	4696509	4734377
SH3TC2	chr5	-	148982149	149063062
OR7A5	chr19	-	14826240	14835185
KCNH8	chr3	+	19148509	19535642
LINC02493	chr4	-	17171756	17186057
RARRES2	chr7	-	150338328	150341629
MRPS9-AS1	chr2	-	105097051	105102944
DPPA3	chr12	+	7711432	7717556
CCNG2	chr4	+	77157206	77170060
LOC101928398	chr21	+	38857538	38858862
RORA-AS1	chr15	+	60479177	60530967
LOC101929882	chr2	-	10041552	10043401
MIR4281	chr5	-	176629438	176629500
MIR4632	chr1	+	12191712	12191773
EIF3K	chr19	+	38619187	38636954
ILF2	chr1	-	153661787	153670993
LEMD3	chr12	+	65169582	65248355
WNK3	chrX	-	54192822	54358046
POLR1E	chr9	+	37485947	37503697
DOLPP1	chr9	+	129081110	129090438
ADCYAP1R1	chr7	+	31052307	31111474
GTF2H2	chr5	+	70415373	70447906
LOC154761	chr7	-	143811967	143836717
ACAP1	chr17	+	7336528	7351477
SMAD5-AS1	chr5	-	136129513	136134890
EAF1	chr3	+	15427597	15442613
HMBS	chr11	+	119084880	119093549
OR8D4	chr11	+	123906431	123907376
UQCC3	chr11	+	62671672	62673686
FOXD3	chr1	+	63322566	63325128
FXYD6	chr11	-	117836980	117876658
MIR4426	chr2	+	55234163	55234849
SUZ12	chr17	+	31937006	32001038
TOX3	chr16	-	52436416	52547143
FAM172A	chr5	-	93617724	94111663
GTF2H3	chr12	+	123633828	123662604
IFNE	chr9	-	21480839	21482313
SSRP1	chr11	-	57325988	57335892
PSPN	chr19	-	6375147	6375916
HM13	chr20	+	31514441	31569543
HCP5B	chr6	-	29871894	29873783
MYNN	chr3	+	169773395	169789716
GC	chr4	-	71741696	71784079
MIR4491	chr11	+	111347756	111347822
CXCR2P1	chr2	-	218059154	218061290
EML2-AS1	chr19	+	45641493	45642834
TENT5B	chr1	-	27005019	27012850
RPL7L1	chr6	+	42879615	42889934
SNORD151	chr7	-	47464719	47464803
SAPCD2	chr9	-	137062126	137070557
SMIM6	chr17	+	75646250	75647974
COL24A1	chr1	-	85729232	86156984
CLRN3	chr10	-	127877840	127892941
SLC22A25	chr11	-	63163169	63229652
SURF4	chr9	-	133361463	133376060
SLC25A33	chr1	+	9539464	9585173
SFXN5	chr2	-	72942035	73071324
IGSF23	chr19	+	44613562	44636781
UBA2	chr19	+	34428380	34471251
VWA7	chr6	-	31765589	31777328
C9orf50	chr9	-	129612224	129620776
SFXN3	chr10	+	101031238	101041241
LINC01047	chr13	-	89214847	89236890
VOPP1	chr7	-	55470607	55572162
PHACTR4	chr1	+	28369739	28500364
GIGYF2	chr2	+	232697330	232860605
PSG10P	chr19	-	42836996	42855718
MTPAP	chr10	-	30309800	30349278
DGKG	chr3	-	186147200	186362234
PDPR	chr16	+	70114331	70162537
RTP2	chr3	-	187698258	187702557
TBC1D8-AS1	chr2	+	101151659	101155412
CSPG4P1Y	chrY	-	24183433	24187231
CSPG4P1Y	chrY	+	25482907	25486705
LINC00336	chr6	-	33586105	33593338
IFI35	chr17	+	43006783	43014456
ZNF3	chr7	-	100069972	100082577
AMY2A	chr1	+	103617331	103625780
FGF8	chr10	-	101770108	101780369
ATP1B4	chrX	+	120362088	120383236
CP	chr3	-	149172496	149221829
PLK4	chr4	+	127880892	127899222
PRKRA	chr2	-	178431413	178451175
INPP5K	chr17	-	1494576	1516612
CD160	chr1	+	145719498	145739288
RIF1	chr2	+	151409901	151482171
SRP54	chr14	+	34982897	35029567
AFF3	chr2	-	99545418	100142590
EMBP1	chr1	+	121519111	121571888
OR2M4	chr1	+	248238928	248239864
MIR12136	chr1	-	632614	632685
GPR6	chr6	+	109978255	109980721
KCNJ18	chr17	+	21692522	21704612
ASCL2	chr11	-	2268497	2270588
CENPVL1	chrX	-	51681212	51682831
CENPVL1	chrX	+	51710511	51712130
WBP11	chr12	-	14784581	14803478
TLE2	chr19	-	2997637	3047635
CMPK1	chr1	+	47333789	47378839
UPK3BL1	chr7	-	102637024	102642791
LINC01413	chr15	+	57319137	57325039
ST3GAL6	chr3	+	98733455	98795845
MED21	chr12	+	27022557	27030673
DMAC2	chr19	-	41431317	41439537
PLXND1	chr3	-	129555213	129606676
SYT2	chr1	-	202590596	202710454
LYRM1	chr16	+	20900770	20925006
MIR4647	chr6	-	44254205	44254285
H3C11	chr6	-	27871844	27872346
ZYG11B	chr1	+	52726452	52827336
LOC105372493	chr20	-	1117851	1118448
MBD3L2B	chr19	-	7018968	7021431
CEP85	chr1	+	26234199	26278808
CBWD2	chr2	+	113437690	113496204
DDX6	chr11	-	118747763	118791164
MIR548O	chr7	-	102405741	102405855
LINC00685	chrX	+	319144	321319
PUF60	chr8	-	143816343	143829315
OR5B12	chr11	-	58438993	58442236
LINC01048	chr13	-	37481464	37484784
CTXND2	chr1	+	150887252	150913292
SLC2A13	chr12	-	39755024	40106081
AQR	chr15	-	34851781	34969742
WNT10B	chr12	-	48965339	48971735
C8orf33	chr8	+	145052466	145056030
SLC29A1	chr6	+	44219614	44234142
MIR554	chr1	+	151545795	151545891
OOSP1	chr11	+	59942878	59995845
LINC01677	chr1	-	105927623	106028253
CEP68	chr2	+	65056415	65087004
SNORD96B	chrX	-	110224988	110225060
MIR4297	chr10	-	129843298	129843374
TBC1D17	chr19	+	49877701	49888750
C7orf65	chr7	+	47655243	47661648
LGI1	chr10	+	93757935	93798159
KLRF2	chr12	+	9881488	9895833
TIGD2	chr4	+	89111532	89114901
TPH1	chr11	-	18017554	18046269
MIR181B2	chr9	+	124693709	124693798
PDHA2	chr4	+	95840092	95841464
CTNS	chr17	+	3636467	3663103
PPP5C	chr19	+	46347086	46390975
POPDC3	chr6	-	105157899	105176255
RBM24	chr6	+	17282700	17293868
P2RX6	chr22	+	21015159	21028013
ZRANB3	chr2	-	135196968	135530730
MOAP1	chr14	-	93182200	93184897
OR6S1	chr14	-	20640695	20641691
S1PR2	chr19	-	10221432	10231331
SLC2A2	chr3	-	170996346	171026720
JAKMIP1	chr4	-	6026198	6200549
MIR6799	chr19	+	49791865	49791934
LINC00535	chr8	-	93346466	93700433
FANCL	chr2	-	58159246	58241307
LINC00517	chr14	-	37896059	37902124
WDR31	chr9	-	113313221	113340275
MIR582	chr5	-	59703605	59703703
CHST14	chr15	+	40470983	40473158
POP4	chr19	+	29606282	29617235
TMPRSS11E	chr4	+	68447462	68497604
FSCN2	chr17	+	81528376	81537130
LAMB2	chr3	-	49121113	49133050
SMIM20	chr4	+	25914191	25929879
CHRNA6	chr8	-	42752635	42768786
LINC01941	chr2	-	126110099	126117985
LINC00563	chr13	-	46296444	46297844
AQP6	chr12	+	49972946	49977139
RABGAP1L-DT	chr1	-	174121637	174159287
MIR571	chr4	+	350156	350252
SETMAR	chr3	+	4303303	4317265
MIR3666	chr7	+	114653344	114653455
KLRG2	chr7	-	139452689	139483673
TCEAL1	chrX	+	103628974	103630948
SMIM24	chr19	-	3473985	3480525
MORC2-AS1	chr22	+	30922307	30926653
HLA-DPA1	chr6	-	33064568	33080748
OTULINL	chr5	+	14581791	14616178
PWWP2A	chr5	-	160091339	160119450
SNORA7A	chr3	-	12840311	12840450
MPV17	chr2	-	27309491	27323097
DNTTIP1	chr20	+	45791953	45811418
KDF1	chr1	-	26949561	26960468
LINC01649	chr1	+	115919375	115925908
PMCHL1	chr5	+	22142351	22152270
H2BC11	chr6	-	27132315	27132795
SEC14L1	chr17	+	77088684	77217099
ISCA1	chr9	-	86264547	86282538
YY1P2	chr2	+	138897323	138899174
SYCE1	chr10	-	133553899	133565634
XKRX	chrX	-	100913444	100928917
TEN1	chr17	+	75979239	76000586
UGT1A1	chr2	+	233760269	233773300
LINC02558	chr22	+	31970822	32037199
BTD	chr3	+	15601744	15722515
CLDN2	chrX	+	106918359	106930861
FOXO6-AS1	chr1	-	41375003	41375669
LINC00921	chr16	+	3263767	3267566
CMYA5	chr5	+	79689835	79800221
RABAC1	chr19	-	41956683	41959321
CERS4	chr19	+	8209369	8262420
VEZF1	chr17	-	57971552	57988254
CCDC92	chr12	-	123935625	123972831
GLYATL1B	chr11	+	59086306	59094786
ASPG	chr14	+	104085699	104115582
EIF2S1	chr14	+	67360327	67386516
TNNI3	chr19	-	55151767	55157732
BZW1	chr2	+	200811909	200827336
ALOX15P1	chr17	+	6657718	6661382
CYGB	chr17	-	76527355	76537709
DERPC	chr16	-	69118002	69132159
OR6Q1	chr11	+	58030952	58031906
LACTB2	chr8	-	70637265	70669185
DNAJC12	chr10	-	67811207	67838179
LRRC6	chr8	-	132570415	132675545
LOC101928272	chr10	-	9197365	9295593
MIR3157	chr10	-	96064314	96064399
FIGN	chr2	-	163602615	163736008
IL11	chr19	-	55364381	55370463
TNFRSF1B	chr1	+	12166990	12209220
CRTC1	chr19	+	18683679	18782333
TDP1	chr14	+	89955926	90044764
MIR638	chr19	+	10718403	10718503
CRYM-AS1	chr16	+	21300848	21318591
RNF222	chr17	-	8390701	8397827
SNORD22	chr11	-	62852909	62853035
ADK	chr10	+	74176762	74709290
PPIG	chr2	+	169584350	169641405
CEP83-DT	chr12	+	94460002	94462568
POLR2L	chr11	-	839720	842529
RHOD	chr11	+	67056846	67072017
ID1	chr20	+	31605288	31606510
B3GALT5-AS1	chr21	-	39597147	39612822
TMPRSS11D	chr4	-	67820875	67884002
MIR4793	chr3	-	48644193	48644280
CCDC198	chr14	-	57478780	57493857
EBLN2	chr3	+	73061658	73063320
NUF2	chr1	+	163321953	163355759
MRPS27	chr5	-	72219402	72320240
RABL2A	chr2	+	113627265	113643391
HNRNPA1L2	chr13	+	52617524	52643786
ZMYND12	chr1	-	42430329	42456267
LINC01867	chr2	+	52370647	52390070
PRR15L	chr17	-	47951967	47957883
OPALIN	chr10	-	96343215	96357159
LINC01241	chr9	+	25780055	25812968
FAAP24	chr19	+	32972241	32978224
HELT	chr4	+	185018840	185020804
PLXNA3	chrX	+	154458280	154477779
TEKT2	chr1	+	36084093	36088275
ZNF727	chr7	+	64045433	64085339
ATP8B4	chr15	-	49858237	50113379
OR3A3	chr17	+	3420567	3421533
ZFAS1	chr20	+	49278641	49289258
LOC100134368	chr16	+	382240	392960
MIR450A1	chrX	-	134540340	134540431
KBTBD3	chr11	-	106051097	106077738
FAM236A	chrX	+	72938205	72938958
FAM236A	chrX	-	72781864	72782617
FAM236A	chrX	+	72938205	72938958
FAM236A	chrX	-	72781864	72782617
CROCCP3	chr1	-	16467435	16492701
C9orf57	chr9	-	72051377	72060613
EIF3IP1	chr7	-	109959226	109960213
ZFYVE16	chr5	+	80408063	80483379
DEPP1	chr10	-	44976127	44978809
MIR7155	chr11	-	64341848	64341904
SIGLEC7	chr19	+	51142300	51153526
LOC101927851	chr1	-	234957342	234963999
FKBP9P1	chr7	-	55681073	55688032
IGHV1OR15-1	chr15	-	21717665	21718307
IGHV1OR15-1	chr15	-	22160288	22160930
CSNK1A1L	chr13	-	37103258	37105664
FRG1	chr4	+	189940871	189963191
MATN2	chr8	+	97869063	98036723
RFLNA	chr12	+	124295092	124316024
TUBA4A	chr2	-	219249709	219253918
LINC01311	chr22	+	19171705	19172832
CAMP	chr3	+	48223494	48225485
MYOCD-AS1	chr17	-	12671861	12706135
FBP2	chr9	-	94558720	94593824
LOC105370980	chr15	+	93206065	93208048
PTN	chr7	-	137227345	137268855
MIR10525	chr7	+	74595967	74596026
MKRN2	chr3	+	12557013	12583711
NRN1	chr6	-	5997999	6006925
RAB11FIP3	chr16	+	425648	523011
XLOC_007697	chr9	+	42788399	42789608
ZPR1	chr11	-	116773800	116788023
MIR6130	chr21	+	23079283	23079392
MIR576	chr4	+	109488697	109488795
GPR52	chr1	+	174447963	174449545
MIR3909	chr22	+	35335639	35335758
SLITRK3	chr3	-	165186719	165196384
LINC01040	chr13	-	89477606	89500509
NKAIN4	chr20	-	63240783	63254463
SLC6A6	chr3	+	14402605	14489349
CAPN15	chr16	+	527711	554636
NUTM2B-AS1	chr10	-	79762571	79826594
EXT2	chr11	+	44095677	44251981
GMPR	chr6	+	16238586	16295549
HAGH	chr16	-	1809097	1827194
MIR22HG	chr17	-	1711503	1716272
PDXDC2P-NPIPB14P	chr16	-	69976298	70065948
MIR6826	chr3	+	129272145	129272243
HOXC-AS3	chr12	-	53983950	53985519
SMS	chrX	+	21940572	21994837
HOXA13	chr7	-	27194370	27200091
PPIAL4E	chr1	-	145241414	145242199
PPIAL4E	chr1	-	144372874	144373659
PPIAL4E	chr1	+	144592867	144593652
LOC285804	chr6	-	170266668	170276762
ZNF212	chr7	+	149239650	149255597
SREBF2	chr22	+	41833104	41907305
LDHA	chr11	+	18394562	18408425
IL34	chr16	+	70579894	70660682
DDX11L9	chr15	-	101976557	101979093
PELI3	chr11	+	66466904	66477337
PLEKHA8P1	chr12	-	45173033	45216006
RPL28	chr19	+	55385931	55392083
CSF1R	chr5	-	150053294	150113365
ZBTB46	chr20	-	63743669	63805503
SLC35G3	chr17	-	35192519	35194393
NUDT22	chr11	+	64226257	64230016
GPRIN2	chr10	-	46541735	46557596
OR1I1	chr19	+	15087065	15088133
MIR4688	chr11	+	46376401	46376484
ACTE1P	chr11	-	71405745	71423354
GNPAT	chr1	+	231241211	231277973
GCSAML-AS1	chr1	-	247524678	247530804
SMAD5	chr5	+	136132844	136182734
CHROMR	chr2	+	178413658	178434091
SCARNA8	chr9	-	19063655	19063786
OR1L6	chr9	+	122742302	122750783
FALEC	chr1	+	150515756	150518032
LMOD3	chr3	-	69106065	69122595
SNORD18B	chr15	-	66502021	66502091
HOXA10	chr7	-	27170604	27179861
LOC101927322	chr18	-	58670008	58671873
KCTD14	chr11	-	78015714	78023276
SLCO1A2	chr12	-	21264599	21395437
OC90	chr8	-	132024215	132059382
MIER2	chr19	-	305574	344841
CDCA7	chr2	+	173354871	173368993
S100A16	chr1	-	153606882	153609355
GDF10	chr10	+	47300196	47313574
PLD3	chr19	+	40348424	40378490
SUGT1	chr13	+	52652835	52700908
HNRNPK	chr9	-	83968082	83980271
SNORD114-28	chr14	+	100989129	100989200
S100A14	chr1	-	153614255	153616325
PPFIA1	chr11	+	70270689	70384396
CD33	chr19	+	51225079	51240016
ZNF879	chr5	+	179023803	179035050
SMPX	chrX	-	21705979	21758116
TMEM132A	chr11	+	60924459	60937159
DKFZP434H168	chr16	-	56192616	56194525
IL4	chr5	+	132673988	132682678
MIR3610	chr8	-	116874727	116874800
PYGO2	chr1	-	154957025	154961782
MIR1285-2	chr2	-	70252917	70253005
DEFB122	chr20	-	31421438	31429180
LOC105373289	chr1	+	227786811	227792185
H1-1	chr6	-	26017031	26017787
ALOX15B	chr17	+	8039058	8049133
ALOX15B	chr17	+	8039039	8049133
ALOX15B	chr17	+	8039058	8049133
LRFN1	chr19	-	39306565	39320863
VAX1	chr10	-	117128519	117138270
RNU5A-1	chr15	+	65296050	65296167
LOC101927974	chr7	-	107742752	107744058
RNVU1-19	chr1	-	120850818	120850985
FAM21EP	chr10	-	50021181	50067803
SNORD68	chr16	+	89561429	89561501
RNA45SN2	chr22_KI270733v1_random	+	122272	135645
PNCK	chrX	-	153669732	153687771
C16orf78	chr16	+	49373803	49399431
LOC100507547	chr6	-	32152801	32154365
NFE4	chr7	+	102973429	102978667
DKK4	chr8	-	42374062	42377229
FAM131A	chr3	+	184335925	184346275
FAM169A	chr5	-	74777573	74866966
CSNK1A1	chr5	-	149492981	149551439
ALG14-AS1	chr1	+	95061595	95067545
MGAT2	chr14	+	49620798	49623481
RPL38	chr17	+	74203677	74210655
WDSUB1	chr2	-	159235798	159286703
KLF2	chr19	+	16324825	16328685
OR6N2	chr1	-	158776681	158777635
H3C12	chr6	-	27890314	27890826
PSAP	chr10	-	71816297	71851251
AURKC	chr19	+	57231022	57235548
MIR5002	chr3	+	124132928	124133025
GON7	chr14	-	93202893	93207065
LINC01030	chr8	-	90592774	90606063
CCL17	chr16	+	57404766	57416063
SWSAP1	chr19	+	11374665	11376169
LINC01982	chr17	+	52390521	52535701
MIR216A	chr2	-	55988949	55989059
SNORD173	chr8	+	103308977	103309081
HOATZ	chr11	+	111514784	111537031
FTSJ1	chrX	+	48476020	48486364
UGT3A1	chr5	-	35960755	36001022
ZNF385D-AS2	chr3	+	21957138	21979828
SYT8	chr11	+	1834426	1837521
LOC102723996	chr21	+	5022530	5036770
LOC102723996	chr21	-	44226838	44240966
GGH	chr8	-	63015079	63038806
IKZF3	chr17	-	39757714	39864188
CDYL	chr6	+	4836097	4955544
LINC01842	chr19	+	14333742	14343913
KCNE1	chr21	-	34446689	34512210
USP24	chr1	-	55066358	55215364
H4C7	chr6	-	26246610	26246996
MAGEA3	chrX	+	152698793	152702347
LOC112267934	chr5	-	140868056	140875891
MAGOH2P	chr17	-	10715942	10716582
MUC12-AS1	chr7	-	101014319	101017608
SFTA1P	chr10	-	10784438	10794914
ING4	chr12	-	6650300	6663119
LINC00235	chr16	-	526846	527407
AP2S1	chr19	-	46838135	46850846
APBA2	chr15	+	28885973	29118313
PRSS54	chr16	-	58279996	58295025
LINC02520	chr6	+	37507347	37536280
PRORY	chrY	-	21382973	21386360
CPLX2	chr5	+	175796532	175884021
TARDBP	chr1	+	11012653	11025492
PHKG1	chr7	-	56080295	56092952
PGAM1	chr10	+	97426190	97433444
CD38	chr4	+	15778327	15853232
LINC01281	chrX	-	39304955	39327362
LOC283299	chr11	-	7850750	7905955
SMIM10	chrX	+	134990990	134992473
TMEM179B	chr11	+	62787401	62790400
DDX54	chr12	-	113157172	113185478
PCSEAT	chr21	+	41580474	41582887
ZNF157	chrX	+	47370577	47414498
SDF2	chr17	-	28648355	28662189
ALG10	chr12	+	34022495	34028301
MRPS10	chr6	-	42206806	42217861
FRG2	chr4	-	190024367	190027256
SNORD115-33	chr15	+	25230837	25230919
PPEF1-AS1	chrX	-	18688643	18692687
LOC105371328	chr16	+	70188321	70189252
LOC401127	chr4	+	39480254	39481903
CHN1	chr2	-	174798809	175005381
VPREB1	chr22	+	22244785	22245515
TBX18-AS1	chr6	+	84689457	84709534
LINC01470	chr5	-	152618964	152972349
RPS20	chr8	-	56073053	56074506
RAB37	chr17	+	74737255	74747335
CCDC60	chr12	+	119334728	119541040
VSIG10L2	chr11	+	125946055	125956319
F13B	chr1	-	197038740	197067260
LINC02709	chr11	-	9754769	9759533
S100A11	chr1	-	152032505	152037004
MRC2	chr17	+	62627669	62693597
DCAF12L2	chrX	-	126163498	126166289
LINC00316	chr21	-	45338589	45341990
MIR3686	chr8	-	129484056	129484142
ATP23	chr12	+	57941566	57959148
ANXA10	chr4	+	168092536	168187736
SPATS1	chr6	+	44342649	44380179
LOC101929243	chr6	+	34696944	34697471
ZNF625	chr19	-	12144893	12156734
ADPRS	chr1	+	36088891	36093932
DDX11L10	chr16	+	11554	14090
LOC101927550	chr7	+	99013164	99036479
PCDHB14	chr5	+	141222325	141226288
HERC2P7	chr15	-	22479152	22482374
SLC16A12-AS1	chr10	+	89455990	89468151
GRPEL2	chr5	+	149345498	149354583
DBIL5P2	chr2	-	63117850	63119542
C1orf87	chr1	-	59990393	60073770
DOCK9-DT	chr13	+	99086722	99088625
ATPAF1	chr1	-	46635038	46668427
DEFB129	chr20	+	227257	229886
TOMM20	chr1	-	235109342	235128837
LINC01338	chr5	-	82850864	82859836
LOC101929579	chr3	-	107380475	107382159
RAMP3	chr7	+	45157790	45184250
OR4Q2	chr14	+	20002061	20003192
ZNF300	chr5	-	150894391	150904983
RAD51	chr15	+	40695173	40732340
LINC02205	chr15	-	70503906	70505928
SNAR-C3	chr19	+	47950295	47950414
WDR12	chr2	-	202874262	202911673
LINC00501	chr3	+	177294441	177323435
H4C5	chr6	+	26204609	26205021
SPACA5B	chrX	+	48007740	48009736
SPACA5B	chrX	+	48130625	48132620
PAK1IP1	chr6	+	10694971	10709782
LINC02525	chr6	-	3182817	3195767
SCAF11	chr12	-	45919130	45990574
EMC9	chr14	-	24138964	24141591
MIR4751	chr19	+	49933063	49933137
SIGLEC5	chr19	-	51610960	51630401
FKBP1A-SDCBP2	chr20	-	1309910	1393172
LINC00670	chr17	+	12549967	12637187
TAS2R8	chr12	-	10806050	10807286
USP43	chr17	+	9645516	9729686
RGS2	chr1	+	192809038	192812275
ASAP3	chr1	-	23428562	23484179
WDR27	chr6	-	169657758	169702063
MGC16275	chr17	-	74209995	74213321
GYPA	chr4	-	144109302	144140718
GZMM	chr19	+	544052	549922
LMO4	chr1	+	87328879	87348923
LOC100506388	chr17	+	331518	333488
SMCO1	chr3	-	196506878	196515346
LYRM4-AS1	chr6	+	5003815	5240496
FUBP3	chr9	+	130579576	130638352
ZNF710	chr15	+	90001323	90082191
DISC1FP1	chr11	+	90251231	90915052
C17orf49	chr17	+	7014781	7017520
HERC1	chr15	-	63608617	63833948
KLHL3	chr5	-	137617499	137721310
MRPL42	chr12	+	93467513	93516214
FNDC7	chr1	+	108712907	108742745
EPCAM	chr2	+	47369310	47387020
MYOM1	chr18	-	3066806	3219968
LOC101928279	chr4	+	4761759	4787374
RNA5S7	chr1	-	228621444	228621565
ANKS6	chr9	-	98732008	98796555
MIR1266	chr15	-	52277116	52277200
EVX2	chr2	-	176080106	176083962
RPL21	chr13	+	27251554	27256565
DENND2B	chr11	-	8693351	8910951
LINC01772	chr1	+	16461806	16468481
STXBP2	chr19	+	7637109	7647873
SNORD73A	chr4	+	151103826	151103891
PITX3	chr10	-	102230188	102241512
INS	chr11	-	2159778	2161209
OR10Z1	chr1	+	158606438	158607380
DUXB	chr16	-	75693892	75701461
BAG1	chr9	-	33252470	33264708
SCO2	chr22	-	50523567	50525598
KCNQ4	chr1	+	40783786	40840452
JUND	chr19	-	18279693	18281622
H3C14	chr1	+	149852603	149853125
H3C14	chr1	-	149840686	149841208
GNG8	chr19	-	46634075	46634682
IL1RAP	chr3	+	190514084	190651514
LOC554249	chr9	+	39873856	39875395
LOC554249	chr9	-	62375327	62376866
MACROH2A2	chr10	+	70052845	70112282
EMC3-AS1	chr3	+	9986892	10007003
RD3	chr1	-	211476521	211492162
LOC105375938	chr8	-	60909463	60910798
JAKMIP2	chr5	-	147585440	147782728
PIAS2	chr18	-	46803217	46917507
NDUFC2	chr11	-	78068296	78079862
EEF1A1	chr6	-	73515749	73521032
LRRC66	chr4	-	51993651	52020363
HCFC1	chrX	-	153947556	153971818
OPRD1	chr1	+	28812169	28871267
MIR342	chr14	+	100109654	100109753
MARK2P9	chr10	+	92418660	92419606
GHRL	chr3	-	10285668	10292947
PAX8	chr2	-	113215996	113278921
LINC00368	chr13	+	111095837	111105890
CCDC168	chr13	-	102729366	102759072
ZNF429	chr19	+	21505601	21507662
KCNK7	chr11	-	65592835	65595800
MIR12118	chr5	+	173303729	173303817
MIR544A	chr14	+	101048657	101048748
GPATCH1	chr19	+	33081180	33130542
LOC375196	chr2	-	38959287	38960344
DEFB115	chr20	+	31257663	31259632
SEPTIN7-DT	chr7	-	35754963	35800625
LYNX1	chr8	-	142771201	142777872
DNAJB7	chr22	-	40859549	40862113
THOC7	chr3	-	63833869	63863923
MIR4650-1	chr7	-	67114321	67114397
SRSF10	chr1	-	23964346	23980327
TAB3	chrX	-	30827441	30889254
RHBDD2	chr7	+	75878991	75888926
SNORA54	chr11	-	2963770	2963893
YWHAQ	chr2	-	9583966	9630997
MIR1197	chr14	+	101025563	101025651
EMP3	chr19	+	48325551	48330553
SLCO1C1	chr12	+	20695464	20753386
CRCT1	chr1	+	152514481	152516008
RRP12	chr10	-	97356356	97401340
MRPL10	chr17	-	47823271	47831541
MYRF	chr11	+	61752635	61788518
AHDC1	chr1	-	27534244	27604144
MIR3922	chr12	+	104591632	104591716
ZNF408	chr11	+	46701030	46705912
SNAR-A4	chr19	-	50092488	50092609
RIN1	chr11	-	66330240	66336774
C3orf80	chr3	+	160225421	160228213
SNORD3B-2	chr17	-	19063919	19064136
CALN1	chr7	-	71779490	72412338
NDN	chr15	-	23685399	23687305
LOC102724301	chr11	+	119729582	119739623
